artist;artistIds;asciiName;attractionLights;availability;boosterTypes;borderColor;cardParts;colorIdentity;colorIndicator;colors;defense;duelDeck;edhrecRank;edhrecSaltiness;faceConvertedManaCost;faceFlavorName;faceManaValue;faceName;finishes;flavorName;flavorText;frameEffects;frameVersion;hand;hasAlternativeDeckLimit;hasContentWarning;hasFoil;hasNonFoil;isAlternative;isFullArt;isFunny;isOnlineOnly;isOversized;isPromo;isRebalanced;isReprint;isReserved;isStarter;isStorySpotlight;isTextless;isTimeshifted;keywords;language;layout;leadershipSkills;life;loyalty;manaCost;manaValue;name;number;originalPrintings;originalReleaseDate;originalText;originalType;otherFaceIds;power;printings;promoTypes;rarity;rebalancedPrintings;relatedCards;securityStamp;setCode;side;signature;subsets;subtypes;supertypes;text;toughness;type;types;uuid;variations;watermark
Pete Venters;d54c4a1a-c0c5-4834-84db-125d341f3ad8;;;mtgo, paper;default;black;;W;;W;;;19753.0;0.27;;;;;nonfoil;;;;2003;;;;0;1;;;;;;;;1.0;;;;;;First strike;English;normal;;;;{5}{W}{W};7.0;Ancestor's Chosen;1;;;First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen comes into play, you gain 1 life for each card in your graveyard.;Creature - Human Cleric;;4;10E, JUD, UMA;;uncommon;;;;10E;;;;Human, Cleric;;First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.;4;Creature — Human Cleric;Creature;5f8287b1-5bb6-5f4c-ad17-316a40d5bb0c;b7c19924-b4bf-56fc-aa73-f586e940bd42;
Pete Venters;d54c4a1a-c0c5-4834-84db-125d341f3ad8;;;mtgo, paper;default;black;;W;;W;;;19753.0;0.27;;;;;foil;;"""The will of all, by my hand done.""";;2003;;;;1;0;;;;;;;;1.0;;;;;;First strike;English;normal;;;;{5}{W}{W};7.0;Ancestor's Chosen;1★;;;;;;4;10E, JUD, UMA;;uncommon;;;;10E;;;;Human, Cleric;;First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.;4;Creature — Human Cleric;Creature;b7c19924-b4bf-56fc-aa73-f586e940bd42;5f8287b1-5bb6-5f4c-ad17-316a40d5bb0c;
Volkan Baǵa;93bec3c0-0260-4d31-8064-5d01efb4153f;;;mtgo, paper;default;black;;W;;W;;;16014.0;;;;;;nonfoil;;Every tear shed is a drop of immortality.;;2003;;;;0;1;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{4}{W};5.0;Angel of Mercy;2;;;Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Angel of Mercy comes into play, you gain 3 life.;Creature - Angel;;3;10E, 8ED, 9ED, DDC, DVD, IMA, INV, JMP, MB1, P02, PS11, PSAL, S99;;uncommon;;;;10E;;;;Angel;;Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.;3;Creature — Angel;Creature;57aaebc1-850c-503d-9f6e-bb8d00d8bf7c;8fd4e2eb-3eb4-50ea-856b-ef638fa47f8a;
Volkan Baǵa;93bec3c0-0260-4d31-8064-5d01efb4153f;;;mtgo, paper;default;black;;W;;W;;;16014.0;;;;;;foil;;Every tear shed is a drop of immortality.;;2003;;;;1;0;;;;;;;;1.0;;;;;;Flying;English;normal;;;;{4}{W};5.0;Angel of Mercy;2★;;;;;;3;10E, 8ED, 9ED, DDC, DVD, IMA, INV, JMP, MB1, P02, PS11, PSAL, S99;;uncommon;;;;10E;;;;Angel;;Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.;3;Creature — Angel;Creature;8fd4e2eb-3eb4-50ea-856b-ef638fa47f8a;57aaebc1-850c-503d-9f6e-bb8d00d8bf7c;
Mark Zug;48e2b98c-5467-4671-bd42-4c3746115117;;;mtgo, paper;default;black;;W;;W;;;21113.0;0.14;;;;;nonfoil;;Only the warrior who can admit mortal weakness will be bolstered by immortal strength.;;2003;;;;0;1;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{W};3.0;Angelic Blessing;3;;;Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.);Sorcery;;;10E, 9ED, EXO, P02, POR, PS11, S00, S99, TPR;;common;;;;10E;;;;;;Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.);;Sorcery;Sorcery;55bd38ca-dc73-5c06-8f80-a6ddd2f44382;c5655330-5131-5f40-9d3e-0549d88c6e9e;
Mark Zug;48e2b98c-5467-4671-bd42-4c3746115117;;;mtgo, paper;default;black;;W;;W;;;21113.0;0.14;;;;;foil;;Only the warrior who can admit mortal weakness will be bolstered by immortal strength.;;2003;;;;1;0;;;;;;;;1.0;;;;;;;English;normal;;;;{2}{W};3.0;Angelic Blessing;3★;;;;;;;10E, 9ED, EXO, P02, POR, PS11, S00, S99, TPR;;common;;;;10E;;;;;;Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.);;Sorcery;Sorcery;c5655330-5131-5f40-9d3e-0549d88c6e9e;55bd38ca-dc73-5c06-8f80-a6ddd2f44382;
Jim Murray;1c906f9b-5bbe-4643-8f5c-90eb1c7f0c43;;;mtgo, paper;default;black;;W;;W;;;4738.0;0.23;;;;;nonfoil, foil;;The harmony of the glorious is a dirge to the wicked.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{3}{W}{W};5.0;Angelic Chorus;4;;;Whenever a creature comes into play under your control, you gain life equal to its toughness.;Enchantment;;;10E, BBD, USG;;rare;;;;10E;;;;;;Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.;;Enchantment;Enchantment;3b77bb52-4181-57f5-b3cd-f3a15b95aa29;;
John Avon;798f3932-30e0-4420-aa3f-db4d613f89ca;;;mtgo, paper;default;black;;W;;W;;;5940.0;;;;;;nonfoil;;"""The Ancestor protects us in ways we can't begin to comprehend.""\n—Mystic elder";;2003;;;;0;1;;;;;;;;1.0;;;;;;Defender, Flying;English;normal;;;;{1}{W};2.0;Angelic Wall;5;;;Defender, flying (This creature can't attack, and it can block creatures with flying.);Creature - Wall;;0;10E, AVR, M14, ODY, P02;;common;;;;10E;;;;Wall;;Defender (This creature can't attack.)\nFlying;4;Creature — Wall;Creature;fadda48c-6226-5ac5-a2b9-e9170d2017cd;60b93108-8790-591b-844e-c3d311698767;
John Avon;798f3932-30e0-4420-aa3f-db4d613f89ca;;;mtgo, paper;default;black;;W;;W;;;5940.0;;;;;;foil;;"""The Ancestor protects us in ways we can't begin to comprehend.""\n—Mystic elder";;2003;;;;1;0;;;;;;;;1.0;;;;;;Defender, Flying;English;normal;;;;{1}{W};2.0;Angelic Wall;5★;;;;;;0;10E, AVR, M14, ODY, P02;;common;;;;10E;;;;Wall;;Defender (This creature can't attack.)\nFlying;4;Creature — Wall;Creature;60b93108-8790-591b-844e-c3d311698767;fadda48c-6226-5ac5-a2b9-e9170d2017cd;
D. Alexander Gregory;38433e15-f0f5-4223-a985-2d13c4aa0922;;;mtgo, paper;default;black;;W;;W;;;952.0;1.12;;;;;nonfoil, foil;;Not all silences are easily broken.;;2003;;;;1;1;;;;;;;;1.0;;;;;;;English;normal;;;;{1}{W}{W};3.0;Aura of Silence;6;;;Artifact and enchantment spells your opponents play cost {2} more to play.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.;Enchantment;;;10E, C15, F02, MB1, PRM, TD0, WC98, WTH;;uncommon;;;;10E;;;;;;Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.;;Enchantment;Enchantment;fac6ad26-f8c2-51bd-9f6a-a1b0940b4cef;;
